product_name,rating_number,rating_counter,product_price,price_range,number_reviews,sold_count,satisfaction,satisfaction_range,shop_name,shop_rating,shop_rating_counter,product_name_detail
910 Nineten Geist Ekiden,5,17,"Rp479,900.00",400000-500000,8,30,1,90-100,Kayak Outdoor,5.0,176000,Sepatu Lari 910 Nineten Geist Ekiden - Abu Tua/Merah
910 Nineten Geist Ekiden,5,1,"Rp549,900.00",500000-600000,0,1,1,90-100,Kayak Outdoor,5.0,176000,Sepatu Running Trail 910 Nineten Geist Ekiden Trail - HItam/Hijau
910 Nineten Aurorun,5,3,"Rp599,900.00",500000-600000,0,12,1,90-100,Kayak Outdoor,5.0,176000,Sepatu Lari 910 Nineten Aurorun - Navy/ungu
910 Nineten Kanzaki 2.0,5,2,"Rp579,900.00",500000-600000,1,3,1,90-100,Kayak Outdoor,5.0,176000,Sepatu running 910 Nineten Kanzaki 2.0 - Hitam/Ungu
910 Nineten Yuka Accel Addiction,5,2,"Rp529,900.00",500000-600000,1,11,1,90-100,Kayak Outdoor,5.0,176000,Sepatu Lari 910 Nineten Yuka Accel Addiction - Hijau
910 Nineten Haze 1.5,5,28,"Rp449,900.00",400000-500000,12,40,1,90-100,Kayak Outdoor,5.0,176000,Sepatu Lari 910 Nineten Haze 1.5 - Hitam/Abu
910 Nineten Reishika Bolster,5,15,"Rp599,900.00",500000-600000,7,24,1,90-100,Kayak Outdoor,5.0,176000,Sepatu Lari 910 Nineten Reishika Bolster - Biru/Jingga
910 Nineten Haze Strike Prime,5,3,"Rp579,900.00",500000-600000,0,3,1,90-100,Kayak Outdoor,5.0,176000,Sepatu Lari 910 Nineten Haze Strike Prime - Hijau Teal/Lime
910 Nineten Ultra Ekiden 1.0,5,5,"Rp549,900.00",500000-600000,2,7,1,90-100,Kayak Outdoor,5.0,176000,Sepatu Lari 910 Nineten Ultra Ekiden 1.0 - Hijau-Tua
Gvl Geovelli Marco,5,1,"Rp179,550.00",100000-200000,1,2,1,90-100,Geovelli,5.0,12000,Gvl Geovelli Marco Nevy Sepatu Sneakers Pria Lari Olahraga Cowok Kuliah Sport Running Sneaker Casual Shoes Kasual - G-3130 Marco
Spotec Running Orbit,5,22,"Rp359,900.00",300000-400000,15,80,0.95,90-100,Spotec,5.0,334000,Spotec Running Orbit Sepatu Lari Pria Wanita - Biru Tua Putih - 37
